M,Issuance province,port,Brand,Model,Year of manufacture,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,General total,Country,Shape,Fuel_Type
25.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,EQA 260,,,,2.0,,2.0,Germany,SUV,Electric
26.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,AMG GLC 43 Coupe,,,,,2.0,2.0,Germany,SUV,Petrol
27.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,V300,,,,,2.0,2.0,Germany,Van,Petrol
28.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,sl 55,,,1.0,,,1.0,Germany,Coupe,Petrol
29.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,gl 450,,,,1.0,,1.0,Germany,SUV,Petrol
30.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,EQE300,,1.0,,,,1.0,Germany,Sedan,Electric
31.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,CLE 200,,,,,1.0,1.0,Germany,Coupe,Petrol
32.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,G500,,1.0,,,,1.0,Germany,SUV,Petrol
33.0,Cairo,New Cairo Traffic Unit,Mercedes-Benz,gle53,,,,1.0,,1.0,Germany,SUV,Petrol
34.0,Cairo,New Cairo Traffic Unit,Gator,DASHING,,,,,28.0,28.0,USA,SUV,Petrol
35.0,Cairo,New Cairo Traffic Unit,Gator,T-2,,,,,23.0,23.0,USA,SUV,Petrol
36.0,Cairo,New Cairo Traffic Unit,Gator,T1,,,,,18.0,18.0,USA,SUV,Petrol
37.0,Cairo,New Cairo Traffic Unit,Gator,X70 FL,,,,,7.0,7.0,USA,SUV,Petrol
38.0,Cairo,New Cairo Traffic Unit,Gator,X90 PLUS,,,,,7.0,7.0,USA,SUV,Petrol
39.0,Cairo,New Cairo Traffic Unit,Gator,Dashing,,,,,2.0,2.0,USA,SUV,Petrol
40.0,Cairo,New Cairo Traffic Unit,Gator,x70 plus,,,,,1.0,1.0,USA,SUV,Petrol
41.0,Cairo,New Cairo Traffic Unit,Gator,x70,,,,,1.0,1.0,USA,SUV,Petrol
42.0,Cairo,New Cairo Traffic Unit,Haojiang,,,,,10.0,75.0,85.0,China,,Electric
43.0,Cairo,New Cairo Traffic Unit,Volkswagen,Tiguan,1.0,,2.0,4.0,38.0,45.0,Germany,SUV,Petrol
44.0,Cairo,New Cairo Traffic Unit,Volkswagen,TAYRON,,,,,16.0,16.0,Germany,SUV,Diesel
45.0,Cairo,New Cairo Traffic Unit,Volkswagen,troc,,,1.0,,3.0,4.0,Germany,SUV,Diesel
46.0,Cairo,New Cairo Traffic Unit,Volkswagen,Golf,,,,3.0,,3.0,Germany,Hatchback,Petrol
47.0,Cairo,New Cairo Traffic Unit,Volkswagen,ID.4 CROZZ PRO,,,2.0,,,2.0,Germany,SUV,Electric
48.0,Cairo,New Cairo Traffic Unit,Volkswagen,Touareg,,,,,1.0,1.0,Germany,SUV,Diesel
49.0,Cairo,New Cairo Traffic Unit,Volkswagen,ID.6,1.0,,,,,1.0,Germany,SUV,Electric
50.0,Cairo,New Cairo Traffic Unit,Volkswagen,id4_crozz,,1.0,,,,1.0,Germany,SUV,Electric
51.0,Cairo,New Cairo Traffic Unit,Škoda,Octavia,,,,1.0,38.0,39.0,Czech Republic,Sedan,Electric
52.0,Cairo,New Cairo Traffic Unit,Škoda,Kodiak,,1.0,2.0,5.0,18.0,26.0,Czech Republic,SUV,Petrol
53.0,Cairo,New Cairo Traffic Unit,Škoda,Karok,,,,,3.0,3.0,Czech Republic,SUV,Petrol
54.0,Cairo,New Cairo Traffic Unit,Škoda,Superb,,,,2.0,1.0,3.0,Czech Republic,Sedan,Petrol
55.0,Cairo,New Cairo Traffic Unit,Škoda,Super B,,,,,1.0,1.0,Czech Republic,Sedan,Petrol
56.0,Cairo,New Cairo Traffic Unit,Hyundai,Elantra,,,,,24.0,24.0,South Korea,Sedan,Petrol
57.0,Cairo,New Cairo Traffic Unit,Hyundai,Accent,,,,1.0,12.0,13.0,South Korea,Sedan,Petrol
58.0,Cairo,New Cairo Traffic Unit,Hyundai,Tucson NX4,,,,1.0,11.0,12.0,South Korea,SUV,Petrol
59.0,Cairo,New Cairo Traffic Unit,Hyundai,Tucson,,,1.0,2.0,,3.0,South Korea,SUV,Petrol
60.0,Cairo,New Cairo Traffic Unit,Hyundai,Elantra AD,,,,,2.0,2.0,South Korea,Sedan,Petrol
61.0,Cairo,New Cairo Traffic Unit,Hyundai,staria,,,,2.0,,2.0,South Korea,Van,Electric
61.0,Cairo,New Cairo Traffic Unit,Hyundai,staria,,,,2.0,,2.0,South Korea,Van,Petrol
62.0,Cairo,New Cairo Traffic Unit,Hyundai,I 30,,,,,2.0,2.0,South Korea,Hatchback,Petrol
63.0,Cairo,New Cairo Traffic Unit,Hyundai,Staria,,,,1.0,,1.0,South Korea,Van,Electric
63.0,Cairo,New Cairo Traffic Unit,Hyundai,Staria,,,,1.0,,1.0,South Korea,Van,Petrol
64.0,Cairo,New Cairo Traffic Unit,Hyundai,Avante,,,,1.0,,1.0,South Korea,Sedan,Electric
65.0,Cairo,New Cairo Traffic Unit,Hyundai,Accent RB,,,,,1.0,1.0,South Korea,Sedan,Electric
66.0,Cairo,New Cairo Traffic Unit,SouEast,S05,,,,,24.0,24.0,China,SUV,Petrol
67.0,Cairo,New Cairo Traffic Unit,SouEast,S07,,,,,18.0,18.0,China,SUV,Petrol
68.0,Cairo,New Cairo Traffic Unit,SouEast,S06,,,,,16.0,16.0,China,SUV,Petrol
69.0,Cairo,New Cairo Traffic Unit,SouEast,S09,,,,,3.0,3.0,China,SUV,Petrol
70.0,Cairo,New Cairo Traffic Unit,Peugeot,3008,,1.0,,2.0,24.0,27.0,France,SUV,Petrol
71.0,Cairo,New Cairo Traffic Unit,Peugeot,408,,,2.0,1.0,12.0,15.0,France,Sedan,Petrol
72.0,Cairo,New Cairo Traffic Unit,Peugeot,5008,,1.0,,,8.0,9.0,France,SUV,Diesel
73.0,Cairo,New Cairo Traffic Unit,Peugeot,2008,,,,,8.0,8.0,France,SUV,Petrol
74.0,Cairo,New Cairo Traffic Unit,XPeng,M03,,,,,53.0,53.0,China,Sedan,Electric
75.0,Cairo,New Cairo Traffic Unit,XPeng,G6,,,,3.0,,3.0,China,SUV,Electric
76.0,Cairo,New Cairo Traffic Unit,XPeng,G9,,,,2.0,,2.0,China,SUV,Electric
77.0,Cairo,New Cairo Traffic Unit,XPeng,X9,,,,,1.0,1.0,China,Minivan,Electric
78.0,Cairo,New Cairo Traffic Unit,Renault,Taliant,,,,,23.0,23.0,France,Sedan,Petrol
79.0,Cairo,New Cairo Traffic Unit,Renault,kardian,,,,,14.0,14.0,France,SUV,Petrol
80.0,Cairo,New Cairo Traffic Unit,Renault,AUSTRAL,,,,,10.0,10.0,France,SUV,Petrol
81.0,Cairo,New Cairo Traffic Unit,Renault,Duster,,,,,4.0,4.0,France,SUV,Petrol
82.0,Cairo,New Cairo Traffic Unit,Renault,Megan,,,,,1.0,1.0,France,Sedan,Petrol
83.0,Cairo,New Cairo Traffic Unit,Kia,Sportage,,,3.0,6.0,15.0,24.0,South Korea,SUV,Petrol
84.0,Cairo,New Cairo Traffic Unit,Kia,Sorrento,1.0,1.0,7.0,1.0,,10.0,South Korea,SUV,Petrol
85.0,Cairo,New Cairo Traffic Unit,Kia,Seltos,,,,,5.0,5.0,South Korea,SUV,Petrol
86.0,Cairo,New Cairo Traffic Unit,Kia,Carnival,,,,3.0,1.0,4.0,South Korea,Minivan,Diesel
87.0,Cairo,New Cairo Traffic Unit,Kia,K4,,,,,4.0,4.0,South Korea,Sedan,Petrol
88.0,Cairo,New Cairo Traffic Unit,Kia,Carens,,1.0,,1.0,,2.0,South Korea,Minivan,Petrol
89.0,Cairo,New Cairo Traffic Unit,Kia,EV3,,,,,1.0,1.0,South Korea,SUV,Electric
90.0,Cairo,New Cairo Traffic Unit,Kia,EV6,,,1.0,,,1.0,South Korea,SUV,Electric
91.0,Cairo,New Cairo Traffic Unit,Chery,Arrizo 5,,,,,13.0,13.0,China,Sedan,Petrol
92.0,Cairo,New Cairo Traffic Unit,Chery,Tiggo 4 Pro,,,,,13.0,13.0,China,SUV,Petrol
93.0,Cairo,New Cairo Traffic Unit,Chery,Tejo7,,,,,8.0,8.0,China,SUV,Petrol
94.0,Cairo,New Cairo Traffic Unit,Chery,Tiggo 7 pro max,,,,,5.0,5.0,China,SUV,Petrol
95.0,Cairo,New Cairo Traffic Unit,Chery,Tiggo 8 Pro Max,,,,,4.0,4.0,China,SUV,Petrol
96.0,Cairo,New Cairo Traffic Unit,Chery,Tego 8,,,,,4.0,4.0,China,SUV,Petrol
97.0,Cairo,New Cairo Traffic Unit,Chery,tiggo9,,,,,1.0,1.0,China,SUV,Petrol
98.0,Cairo,New Cairo Traffic Unit,Chery,Tego 3,,,1.0,,,1.0,China,SUV,Petrol
99.0,Cairo,New Cairo Traffic Unit,Cobra,TERRAMAR,,,,21.0,4.0,25.0,China,SUV,Petrol
100.0,Cairo,New Cairo Traffic Unit,Cobra,Leon,,,,,16.0,16.0,China,Hatchback,Petrol
101.0,Cairo,New Cairo Traffic Unit,BMW,320I,,,,,12.0,12.0,Germany,Sedan,Petrol
102.0,Cairo,New Cairo Traffic Unit,BMW,X5,,,,5.0,,5.0,Germany,SUV,Petrol
103.0,Cairo,New Cairo Traffic Unit,BMW,X 2,,,1.0,,2.0,3.0,Germany,SUV,Petrol
104.0,Cairo,New Cairo Traffic Unit,BMW,X1,,,1.0,1.0,,2.0,Germany,SUV,Petrol
105.0,Cairo,New Cairo Traffic Unit,BMW,I 320,,,,,2.0,2.0,Germany,Sedan,Petrol
106.0,Cairo,New Cairo Traffic Unit,BMW,218,,,,,2.0,2.0,Germany,Sedan,Petrol
107.0,Cairo,New Cairo Traffic Unit,BMW,X2 20i,,,,1.0,,1.0,Germany,SUV,Petrol
108.0,Cairo,New Cairo Traffic Unit,BMW,420i,,,,1.0,,1.0,Germany,Coupe,Petrol
109.0,Cairo,New Cairo Traffic Unit,BMW,i116,,1.0,,,,1.0,Germany,Sedan,Petrol
110.0,Cairo,New Cairo Traffic Unit,BMW,r,,,,,1.0,1.0,Germany,Motorcycle,Petrol
111.0,Cairo,New Cairo Traffic Unit,BMW,x7,,,1.0,,,1.0,Germany,SUV,Diesel
112.0,Cairo,New Cairo Traffic Unit,BMW,520I,,,,,1.0,1.0,Germany,Sedan,Petrol
113.0,Cairo,New Cairo Traffic Unit,BMW,R1250GS,,1.0,,,,1.0,Germany,Motorcycle,Petrol
114.0,Cairo,New Cairo Traffic Unit,BMW,760i,,,,1.0,,1.0,Germany,Sedan,Petrol
115.0,Cairo,New Cairo Traffic Unit,BMW,X4,,1.0,,,,1.0,Germany,SUV,Petrol
116.0,Cairo,New Cairo Traffic Unit,BMW,i3,,,,1.0,,1.0,Germany,Sedan,Electric
117.0,Cairo,New Cairo Traffic Unit,Toyota,Corolla,,,,1.0,21.0,22.0,Japan,Sedan,Petrol
118.0,Cairo,New Cairo Traffic Unit,Toyota,Fortuner,,,,,5.0,5.0,Japan,SUV,Diesel
119.0,Cairo,New Cairo Traffic Unit,Toyota,Urban Cruiser,,,,,4.0,4.0,Japan,SUV,Petrol
120.0,Cairo,New Cairo Traffic Unit,Toyota,Land Cruiser,,1.0,,1.0,,2.0,Japan,SUV,Diesel
121.0,Cairo,New Cairo Traffic Unit,Toyota,bZ3X,,,,1.0,,1.0,Japan,SUV,Electric
122.0,Cairo,New Cairo Traffic Unit,Toyota,Land Cruiser GXR,,,,1.0,,1.0,Japan,SUV,Petrol
123.0,Cairo,New Cairo Traffic Unit,BYD,SONG L,,,,7.0,,7.0,China,SUV,Electric
124.0,Cairo,New Cairo Traffic Unit,BYD,SEA LION 06,,,,6.0,,6.0,China,SUV,Electric
125.0,Cairo,New Cairo Traffic Unit,BYD,song plus,,,,4.0,,4.0,China,SUV,Plug-in Hybrid
126.0,Cairo,New Cairo Traffic Unit,BYD,Sealion 05,,,,3.0,,3.0,China,SUV,Electric
127.0,Cairo,New Cairo Traffic Unit,BYD,TANG L,,,,3.0,,3.0,China,SUV,Electric
128.0,Cairo,New Cairo Traffic Unit,BYD,SEAGULL,,,,2.0,,2.0,China,Hatchback,Electric
129.0,Cairo,New Cairo Traffic Unit,BYD,Leopard 3,,,,2.0,,2.0,China,SUV,Electric
130.0,Cairo,New Cairo Traffic Unit,BYD,F3,,,,1.0,,1.0,China,Sedan,Petrol
131.0,Cairo,New Cairo Traffic Unit,BYD,leopard 5,,,,1.0,,1.0,China,SUV,Electric
132.0,Cairo,New Cairo Traffic Unit,BYD,Titanium 3,,,,1.0,,1.0,China,Sedan,Electric
133.0,Cairo,New Cairo Traffic Unit,BYD,Yuan up,,,,1.0,,1.0,China,SUV,Electric
134.0,Cairo,New Cairo Traffic Unit,BYD,SONG DMI,,,,,1.0,1.0,China,SUV,Electric
135.0,Cairo,New Cairo Traffic Unit,BYD,Destroyer 05,,,,1.0,,1.0,China,Sedan,Electric
136.0,Cairo,New Cairo Traffic Unit,BYD,HAN,,,,1.0,,1.0,China,Sedan,Electric
137.0,Cairo,New Cairo Traffic Unit,Dayun,150,,,,7.0,19.0,26.0,China,Motorcycle,Electric
138.0,Cairo,New Cairo Traffic Unit,Dayun,200,,,,,4.0,4.0,China,Motorcycle,Petrol
139.0,Cairo,New Cairo Traffic Unit,Dayun,DY300,,,,,2.0,2.0,China,Motorcycle,Petrol
140.0,Cairo,New Cairo Traffic Unit,Citroën,C5,,,,,15.0,15.0,France,Sedan,Electric
141.0,Cairo,New Cairo Traffic Unit,Citroën,C4X,,,,,15.0,15.0,France,Sedan,Petrol
142.0,Cairo,New Cairo Traffic Unit,Citroën,C4,,,,,2.0,2.0,France,Hatchback,Petrol
143.0,Cairo,New Cairo Traffic Unit,Chevrolet,Optra,,,,,25.0,25.0,USA,Sedan,Petrol
144.0,Cairo,New Cairo Traffic Unit,Chevrolet,Captiva,,,,,2.0,2.0,USA,SUV,Petrol
145.0,Cairo,New Cairo Traffic Unit,Chevrolet,Optra LT,,,,,1.0,1.0,USA,Sedan,Petrol
146.0,Cairo,New Cairo Traffic Unit,Deepal,S05,,,,,22.0,22.0,China,SUV,Electric
147.0,Cairo,New Cairo Traffic Unit,Deepal,G318,,,2.0,2.0,,4.0,China,SUV,Electric
148.0,Cairo,New Cairo Traffic Unit,Deepal,S09,,,,1.0,,1.0,China,SUV,Electric
149.0,Cairo,New Cairo Traffic Unit,VIGOREY,200,,,,1.0,10.0,11.0,China,Motorcycle,Petrol
150.0,Cairo,New Cairo Traffic Unit,VIGOREY,150,,,,1.0,9.0,10.0,China,Motorcycle,Petrol
151.0,Cairo,New Cairo Traffic Unit,VIGOREY,250,,,,5.0,,5.0,China,Motorcycle,Petrol
152.0,Cairo,New Cairo Traffic Unit,VIGOREY,300,,,,,1.0,1.0,China,Motorcycle,Petrol
153.0,Cairo,New Cairo Traffic Unit,Changan,CS55 PLUS,,,,,17.0,17.0,China,SUV,Petrol
154.0,Cairo,New Cairo Traffic Unit,Changan,UNI-V,,,,,3.0,3.0,China,Sedan,Petrol
155.0,Cairo,New Cairo Traffic Unit,Changan,UNI-T,,1.0,,,1.0,2.0,China,SUV,Electric
156.0,Cairo,New Cairo Traffic Unit,Changan,Deepal S05,,,,1.0,,1.0,China,SUV,Electric
157.0,Cairo,New Cairo Traffic Unit,Changan,CS35 PLUS,,,,,1.0,1.0,China,SUV,Petrol
158.0,Cairo,New Cairo Traffic Unit,Changan,S07,,,,1.0,,1.0,China,SUV,Electric
159.0,Cairo,New Cairo Traffic Unit,GAC,EMPOW,,,,1.0,13.0,14.0,China,Sedan,Petrol
160.0,Cairo,New Cairo Traffic Unit,GAC,GS4 MAX,,,,,4.0,4.0,China,SUV,Petrol
161.0,Cairo,New Cairo Traffic Unit,GAC,EMZOOM,,,,,3.0,3.0,China,SUV,Petrol
162.0,Cairo,New Cairo Traffic Unit,GAC,EMKOO,,,2.0,,,2.0,China,SUV,Petrol
163.0,Cairo,New Cairo Traffic Unit,GAC,GS4,,,1.0,,,1.0,China,SUV,Electric
163.0,Cairo,New Cairo Traffic Unit,GAC,GS4,,,1.0,,,1.0,China,SUV,Petrol
164.0,Cairo,New Cairo Traffic Unit,Geely,coolray,,,,3.0,12.0,15.0,China,SUV,Petrol
165.0,Cairo,New Cairo Traffic Unit,Geely,M Grand,,,,2.0,4.0,6.0,China,Sedan,Petrol
166.0,Cairo,New Cairo Traffic Unit,Geely,Coolray,,,,,1.0,1.0,China,SUV,Petrol
167.0,Cairo,New Cairo Traffic Unit,Geely,Emgrand,,,,,1.0,1.0,China,Sedan,Petrol
168.0,Cairo,New Cairo Traffic Unit,Geely,STARRAY,,,,1.0,,1.0,China,SUV,Electric
169.0,Cairo,New Cairo Traffic Unit,Keeway,,,,,14.0,8.0,22.0,China,,Petrol
170.0,Cairo,New Cairo Traffic Unit,Keeway,200,,,,2.0,,2.0,China,Motorcycle,Petrol
171.0,Cairo,New Cairo Traffic Unit,SEAT,Leon,,,,,7.0,7.0,Spain,Hatchback,Petrol
172.0,Cairo,New Cairo Traffic Unit,SEAT,Ibiza,,,,1.0,6.0,7.0,Spain,Hatchback,Petrol
173.0,Cairo,New Cairo Traffic Unit,SEAT,ateca,,,,,5.0,5.0,Spain,SUV,Petrol
174.0,Cairo,New Cairo Traffic Unit,SEAT,Aruna,,,,,3.0,3.0,Spain,SUV,Petrol
175.0,Cairo,New Cairo Traffic Unit,BAIC,U5 PLUS,,,,5.0,14.0,19.0,China,Sedan,Petrol
176.0,Cairo,New Cairo Traffic Unit,BAIC,X55,,,,,1.0,1.0,China,SUV,Petrol
177.0,Cairo,New Cairo Traffic Unit,Fiat,x500,,,,,20.0,20.0,Italy,SUV,Petrol
178.0,Cairo,New Cairo Traffic Unit,Audi,A3,,,,1.0,7.0,8.0,Germany,Sedan,Petrol
179.0,Cairo,New Cairo Traffic Unit,Audi,Q8,,,,2.0,,2.0,Germany,SUV,Petrol
180.0,Cairo,New Cairo Traffic Unit,Audi,A5,,,,2.0,,2.0,Germany,Coupe,Petrol
181.0,Cairo,New Cairo Traffic Unit,Audi,Q7,,,1.0,,,1.0,Germany,SUV,Diesel
182.0,Cairo,New Cairo Traffic Unit,Audi,Q6,,,,1.0,,1.0,Germany,SUV,Electric
183.0,Cairo,New Cairo Traffic Unit,Audi,Q2,,,,1.0,,1.0,Germany,SUV,Petrol
184.0,Cairo,New Cairo Traffic Unit,Audi,Q3,,,,1.0,,1.0,Germany,SUV,Petrol
185.0,Cairo,New Cairo Traffic Unit,Zeekr,7X,,,,2.0,9.0,11.0,China,SUV,Electric
186.0,Cairo,New Cairo Traffic Unit,Zeekr,1,,,,1.0,2.0,3.0,China,Sedan,Electric
187.0,Cairo,New Cairo Traffic Unit,Mitsubishi,ECLIPSE,,,,5.0,,5.0,Japan,Coupe,Petrol
188.0,Cairo,New Cairo Traffic Unit,Mitsubishi,Eclipse,,,1.0,3.0,,4.0,Japan,Coupe,Petrol
189.0,Cairo,New Cairo Traffic Unit,Mitsubishi,XPANDER CROSS,,,,2.0,,2.0,Japan,Minivan,Petrol
190.0,Cairo,New Cairo Traffic Unit,Mitsubishi,Eclipse Cross,,,,1.0,,1.0,Japan,SUV,Petrol
191.0,Cairo,New Cairo Traffic Unit,Mitsubishi,Atraj,,,,1.0,,1.0,Japan,Sedan,Petrol
192.0,Cairo,New Cairo Traffic Unit,Mitsubishi,Outlander,,,,,1.0,1.0,Japan,SUV,Petrol
193.0,Cairo,New Cairo Traffic Unit,Opel,Grandland,,,,,8.0,8.0,Germany,SUV,Petrol
194.0,Cairo,New Cairo Traffic Unit,Opel,Mocha,,,,,4.0,4.0,Germany,SUV,Petrol
195.0,Cairo,New Cairo Traffic Unit,Opel,Corsa,,,,,2.0,2.0,Germany,Hatchback,Petrol
196.0,Cairo,New Cairo Traffic Unit,ROX,1,,,,9.0,4.0,13.0,China,SUV,Electric
197.0,Cairo,New Cairo Traffic Unit,Honda,Accord,1.0,2.0,1.0,,,4.0,Japan,Sedan,Petrol
198.0,Cairo,New Cairo Traffic Unit,Honda,Goldwing,,,,2.0,,2.0,Japan,Motorcycle,Petrol
199.0,Cairo,New Cairo Traffic Unit,Honda,CRV,,,,2.0,,2.0,Japan,SUV,Petrol
200.0,Cairo,New Cairo Traffic Unit,Honda,ENP2,,,,1.0,,1.0,Japan,Sedan,Electric
201.0,Cairo,New Cairo Traffic Unit,Honda,ZR-V,,,1.0,,,1.0,Japan,SUV,Petrol
202.0,Cairo,New Cairo Traffic Unit,Honda,HRV,,,1.0,,,1.0,Japan,SUV,Petrol
203.0,Cairo,New Cairo Traffic Unit,Porsche,Cayenne coupe,,,1.0,2.0,,3.0,Germany,SUV,Petrol
204.0,Cairo,New Cairo Traffic Unit,Porsche,T was not,,,,,3.0,3.0,Germany,Sedan,Petrol
205.0,Cairo,New Cairo Traffic Unit,Porsche,Cayenne GTS Coupe,,,,1.0,1.0,2.0,Germany,SUV,Petrol
206.0,Cairo,New Cairo Traffic Unit,Porsche,Tacan 4s,,,1.0,,,1.0,Germany,Sedan,Petrol
207.0,Cairo,New Cairo Traffic Unit,Porsche,Carrera,,,,1.0,,1.0,Germany,Coupe,Petrol
208.0,Cairo,New Cairo Traffic Unit,Proton,Saga,,,,1.0,9.0,10.0,Malaysia,Sedan,Petrol
209.0,Cairo,New Cairo Traffic Unit,Suzuki,Swift.,,,,,4.0,4.0,Japan,Hatchback,Electric
210.0,Cairo,New Cairo Traffic Unit,Suzuki,Baleno,,,,,3.0,3.0,Japan,Hatchback,Petrol
211.0,Cairo,New Cairo Traffic Unit,Suzuki,Van,,,1.0,,,1.0,Japan,Van,Electric
212.0,Cairo,New Cairo Traffic Unit,Suzuki,Artega,,1.0,,,,1.0,Japan,Hatchback,Petrol
213.0,Cairo,New Cairo Traffic Unit,BAIC,BJ30e,,,,2.0,4.0,6.0,China,SUV,Electric
214.0,Cairo,New Cairo Traffic Unit,BAIC,x7,,,,,2.0,2.0,China,SUV,Petrol
215.0,Cairo,New Cairo Traffic Unit,DFSK,E5,,,,,6.0,6.0,China,SUV,Electric
216.0,Cairo,New Cairo Traffic Unit,DFSK,E5 PLUS,,,,,2.0,2.0,China,SUV,Electric
217.0,Cairo,New Cairo Traffic Unit,SYM,Scooter,,,1.0,1.0,2.0,4.0,Taiwan,Motorcycle,Electric
218.0,Cairo,New Cairo Traffic Unit,SYM,SYM 200,,,,1.0,,1.0,Taiwan,Motorcycle,Petrol
219.0,Cairo,New Cairo Traffic Unit,SYM,JET14,,,,1.0,,1.0,Taiwan,Motorcycle,Petrol
220.0,Cairo,New Cairo Traffic Unit,SYM,sym 150,,,,1.0,,1.0,Taiwan,Motorcycle,Petrol
221.0,Cairo,New Cairo Traffic Unit,MINI,C,,,,,7.0,7.0,Germany,Hatchback,Petrol
222.0,Cairo,New Cairo Traffic Unit,Haval,H7,,,,,4.0,4.0,China,SUV,Petrol
223.0,Cairo,New Cairo Traffic Unit,Haval,H6,,,,,3.0,3.0,China,SUV,Petrol
224.0,Cairo,New Cairo Traffic Unit,IM,IM5,,,,,3.0,3.0,China,Sedan,Electric
225.0,Cairo,New Cairo Traffic Unit,IM,IM6,,,,,2.0,2.0,China,Sedan,Electric
226.0,Cairo,New Cairo Traffic Unit,IM,LS7,,,,1.0,,1.0,China,SUV,Electric
227.0,Cairo,New Cairo Traffic Unit,Halawa,sweetness,,,,4.0,,4.0,Egypt,Motorcycle,Electric
228.0,Cairo,New Cairo Traffic Unit,Halawa,Express,,,,2.0,,2.0,Egypt,Motorcycle,Electric
229.0,Cairo,New Cairo Traffic Unit,Pluto Volt,Volt,,,,5.0,,5.0,China,Motorcycle,Electric
230.0,Cairo,New Cairo Traffic Unit,Avatr,12,,,,2.0,3.0,5.0,China,Sedan,Electric
231.0,Cairo,New Cairo Traffic Unit,KGM,ACTYON,,,,,3.0,3.0,South Korea,SUV,Petrol
232.0,Cairo,New Cairo Traffic Unit,KGM,TORRES,,,,,2.0,2.0,South Korea,SUV,Petrol
233.0,Cairo,New Cairo Traffic Unit,Dongfeng,8,,,,2.0,,2.0,China,Sedan,Electric
234.0,Cairo,New Cairo Traffic Unit,Dongfeng,7,,,,1.0,,1.0,China,Sedan,Electric
235.0,Cairo,New Cairo Traffic Unit,Dongfeng,Shine E2,,,,,1.0,1.0,China,Sedan,Petrol
236.0,Cairo,New Cairo Traffic Unit,Dongfeng,Mag E3,,,,,1.0,1.0,China,Sedan,Petrol
237.0,Cairo,New Cairo Traffic Unit,Avatr,12,,,,3.0,,3.0,China,Sedan,Electric
